volume,trades,Coin,total_pnl,win_rate
644232116.63,26064,BTC,868044.732638,0.8305931510582251
141990206.05,68005,HYPE,1948484.599761,0.8816344381618818
125074752.06,10691,SOL,1639555.927506,0.8387673956262426
118280994.07,11158,ETH,1319978.838852,0.7681713848508034
55760858.63,29992,@107,2783912.919016,0.8169637655831294
8311390.4,4650,FARTCOIN,-100687.213185,0.705637707948244
7781167.59,1979,SUI,199268.834922,0.9395296752519597
7349346.94,1920,TRUMP,-364824.908179,0.6996871741397289
7040710.45,4428,MELANIA,390351.069856,0.8891904115784712
5343210.53,1774,XRP,3756.901464999999,0.6544622425629291
3047336.39,1265,PAXG,-18688.874329,0.4268041237113402
2995780.58,1647,kBONK,35551.245276,0.5278969957081545
2792841.63,1983,WLD,22281.920156,0.7563829787234042
2486351.27,1309,@142,7450.359672,0.8071216617210683
2452103.46,826,DOGE,147543.156534,0.8758169934640523
