Account,total_pnl,avg_pnl,win_rate,trades,total_fees,net_pnl
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,341.3573176762223,0.7910495301799649,6279,7048.225956,2136334.371733
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,923.9202193874133,0.7927251732101617,1732,3644.3420770000002,1596585.4779019998
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,94.04459400020006,0.9911973592077623,9997,5415.250686,934748.555534
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,153.30582911638086,0.8954761036118205,5482,37357.947278,803064.607938
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,37.07509880169393,0.7630703738193428,22551,8688.644738,827391.908339
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,303.5141292624273,0.948499776085983,2233,4456.5837,673290.4669430001
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,582.5720025983718,0.746268656716418,737,617.528138,428738.037777
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,695.395446312187,1.0,599,252.723774,416289.148567
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,714.5594045372341,0.776595744680851,564,122.468413,402889.035746
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,43.775451121362586,0.9263279445727483,8660,1734.660925,377360.74578600004
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,104.77309925940996,0.9267548321464903,2949,20330.235968,288645.63374799996
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,187.35689197366185,0.7349192863211554,1177,2408.166935,218110.894918
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,2216.728808133333,1.0,90,98.27016499999999,199407.322567
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,81.87281795825243,0.8174757281553398,2060,1393.865056,167264.13993799998
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,19.560663696692263,0.8620791494388659,6772,1100.977949,131363.83660500002
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,141.90464364798206,0.976457399103139,892,1129.491017,125449.451117
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,255.23759805633802,0.9882629107981221,426,106.637139,108624.579633
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,19.11578407768387,0.9703290775040461,5561,1492.30284,104810.572416
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,28.212862724815725,0.822003822003822,3663,592.66469,102751.051471
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,285.67248734117646,0.9372549019607843,255,88.462692,72758.02158
